Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales_Mil,Critic_Score,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,82.53,76,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,82,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,80,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37,,,
Tetris,GB,1989,Puzzle,Nintendo,30.26,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,89,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,28.92,58,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,87,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,,,
Nintendogs,DS,2005,Simulation,Nintendo,24.67,,,
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,91,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1,,,
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,20.61,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.25,,,
Super Mario Land,GB,1989,Platform,Nintendo,18.14,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,15.85,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.14,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,"Infinity Ward, Sledgehammer Games",M
Pok̩mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,14.64,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,14.63,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,14.6,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,94,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,93,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,85,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,88,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,11.89,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,11.77,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,11.68,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,97,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90,Nintendo,E
